286,3-286,马,ma3,horse; abbr. for Malaysia 馬來西亞|马来西亚,,
287,,马上,ma3 shang4,"at once, right away, immediately; lit. on horseback",,
288,1-61,吗,ma5,(question tag),,
289,1-62,买,mai3,to buy; to purchase,,
290,2-131,卖,mai4,to sell; to betray; to spare no effort; to show off or flaunt,,
291,3-291,满意,man3 yi4,satisfied; pleased; to one's satisfaction,,
292,2-132,慢,man4,slow,,
293,2-133,忙,mang2,busy; hurriedly,,
294,1-63,猫,mao1,cat; CL:隻|只[zhi1],,
295,3-295,帽子,mao4 zi5,hat; cap; CL:頂|顶[ding3],,
296,1-64,没,mei2,(negative prefix for verbs); have not; not,,
297,1-65,没关系,mei2 guan1 xi5,it doesn't matter,,
298,2-137,每,mei3,each; every,,
299,2-138,妹妹,mei4 mei5,younger sister; fig. younger woman (esp. girl friend or rival); CL:個|个[ge4],,
300,2-139,门,men2,"gate; door; CL:扇[shan4]; gateway; doorway; CL:個|个[ge4]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology",,
301,3-301,米,mi3,rice; CL:粒[li4]; meter (classifier),,
302,1-66,米饭,mi3 fan4,(cooked) rice,,
303,3-303,面包,mian4 bao1,"bread; CL:片[pian4],袋[dai4],塊|块[kuai4]",,
304,3-304,面条,mian4 tiao2,noodles,,
305,3-305,明白,ming2 bai5,clear; obvious; unequivocal; to understand; to realize,,
306,1-67,明天,ming2 tian1,tomorrow,,
307,1-68,名字,ming2 zi5,name (of a person or thing); CL:個|个[ge4],,
308,3-308,拿,na2,to hold; to seize; to catch; to apprehend; to take,,
309,1-69,哪,na3,how; which,,
309,1-69,哪儿,na3 r5,where?; wherever; anywhere,,
310,1-70,那,na4,"that; those; then (in that case); commonly pr. nei4 before a classifier, esp. in Beijing",,
310,1-70,那儿,na4 r5,there,,
311,3-311,奶奶,nai3 nai5,(informal) father's mother; paternal grandmother; CL:位[wei4],,
312,3-312,南,nan2,south,,
313,2-145,男人,nan2 ren2,a man; a male; men; CL:個|个[ge4],,
314,3-314,难,nan2,difficult (to...); problem; difficulty; difficult; not good,,
315,3-315,难过,nan2 guo4,feel sorry; be grieved,,
316,1-71,呢,ne5,(question particle for subjects already mentioned),,
317,1-72,能,neng2,to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of,,
318,1-73,你,ni3,"you (informal, as opposed to polite 您[nin2])",,
319,1-74,年,nian2,year; CL:個|个[ge4],,
320,3-320,年级,nian2 ji2,grade; CL:個|个[ge4],,
321,3-321,年轻,nian2 qing1,young,,
322,3-322,鸟,niao3,"bird; CL:隻|只[zhi1],群[qun2]",,
323,2-150,您,nin2,"you (polite, as opposed to informal 你[ni3])",,
324,2-151,牛奶,niu2 nai3,"cow's milk; CL:瓶[ping2],杯[bei1]",,
325,3-325,努力,nu3 li4,great effort; to strive; to try hard,,
326,1-75,女儿,nv3 er2,daughter,,
327,2-153,女人,nv3 ren2,woman,,
